,Tournament,Stadium,City,Country
0,UEFAChampionsLeague_2003/2004,Veltins-Arena,Gelsenkirchen,Germany
1,UEFAChampionsLeague_2004/2005,Atatürk Olympic Stadium,Istanbul,Turkey
2,UEFAChampionsLeague_2005/2006,Stade de France,Paris,France
3,UEFAChampionsLeague_2006/2007,Olympiako Stadio Athinon,Athena,Greece
4,UEFAChampionsLeague_2007/2008,Luzhniki Stadium,Moscow,Russia
5,UEFAChampionsLeague_2008/2009,Olimpico di Roma,Roma,Italy
6,UEFAChampionsLeague_2009/2010,Santiago Bernabéu,Madrid,Spain
7,UEFAChampionsLeague_2010/2011,Wembley Stadium,Londra,England
8,UEFAChampionsLeague_2011/2012,Allianz Arena,Munich,Germany
9,UEFAChampionsLeague_2012/2013,Wembley Stadium,Londra,England
10,UEFAChampionsLeague_2013/2014,Estádio da Luz,Lisbon,Portugal
11,UEFAChampionsLeague_2014/2015,Olympiastadion Berlin,Berlin,Germany
12,UEFAChampionsLeague_2015/2016,Giuseppe Meazza,Milano,Italy
13,UEFAChampionsLeague_2016/2017,Millennium Stadium,Cardiff,Wales
14,UEFAChampionsLeague_2017/2018,NSK Olimpisky,Kiev,Russia
15,UEFAChampionsLeague_2018/2019,Wanda Metropolitano,Madrid,Spain
16,UEFA-Cup_2004/2005,Estádio José Alvalade,Lisbon,Portugal
17,UEFA-Cup_2005/2006,Philips Stadion,Eindhoven,Netherlands
18,UEFA-Cup_2006/2007,Hampden Park,Glasgow,Scotland
19,UEFA-Cup_2007/2008,Etihad Stadium,Manchester,England
20,UEFA-Cup_2008/2009,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,Istanbul,Turkey
21,EuropaLeague_2009/2010,Volksparkstadion,Hamburg,Germany
22,EuropaLeague_2010/2011,Aviva Stadium,Dublin,Ireland
23,EuropaLeague_2011/2012,National Arena,Bucharest,Romania
24,EuropaLeague_2012/2013,Johan Cruijff ArenA,Amsterdam,Netherlands
25,EuropaLeague_2013/2014,Allianz Stadium,Turin,Italy
26,EuropaLeague_2014/2015,PGE Narodowy,Warsaw,Poland
27,EuropaLeague_2015/2016,St. Jakob-Park,Basel,Switzerland
28,EuropaLeague_2016/2017,Friends Arena,Stockholm,Sweden
29,EuropaLeague_2017/2018,Groupama Stadium,Lyon,France
30,EuropaLeague_2018/2019,Baku Olympic Stadium,Baku,Azerbaijan
